id;holds;hold_capacity;source;destination;period;cost
1;44173;17293;compress Awesome;systemic;64245;81820
2;77207;45436;Tanzanian SQL;Credit Ergonomic Frozen;10661;40734
3;37347;815;Fresh Keyboard Somali;program invoice cross-platform;90759;46137
4;99618;58384;metrics;Intelligent;18862;36999
5;25845;67069;Designer Frozen payment;online Berkshire;13057;87329
6;84213;97553;Uzbekistan reinvent multi-byte;Bacon Engineer;52072;18023
7;488;51215;empowering;Investment withdrawal green;71843;71639
8;42613;6354;fault-tolerant port bandwidth;Avon Accountability invoice;13499;60371
9;7303;7026;Applications Rubber Networked;Sleek Data Legacy;8418;18794
10;83239;42219;Forward magnetic;Health Wooden Metal;30650;12094
